job_id,title,company,location,site,search_term,description,min_amount,max_amount,currency,date_posted,job_url,scraped_at
1,"Analyst to Associate - Risk Management, Prime Brokerage",Haitong International Management Services Company Limited,HK,indeed,data analyst,"We are always looking for talented professionals to join us in the path towards success.
  
  

**Job Responsibilities:**  

In close collaboration with trading and sales team, provide expertise and guidance on the Group’s risk policies
  
  

Conduct market risk control, client analysis, and assist to apply credit limit/trading limit for client
  
  

Manage the approval process in line with the firm’s risk appetite, applicable risk policies and industry regulations, covering market risk, credit risk and operational risk
  
  

Monitor and manage client’s portfolio and position, conduct regular counterparty reviews
  
  

Handle other ad\-hoc assignments as assigned by team head/supervisor
  
  

**Job Specification:**  

Bachelor degree or above with a major in finance, Economics, Risk or related disciplines
  
  

Minimum 3 years’ relevant experience in financial sector, preferably in risk function
  
  

Good knowledge and experience of risk management
  
  

Good knowledge on ISDA, CSA, GMRA and the other trading agreement
  
  

Good commend of written and spoken English and Mandarin
  
  

Proficiency in MS office application, with knowledge of VBA, python preferred
  
  

Diligent, proactive and with strong analytical, interpersonal and communication skills
  
  

CFA and/or FRM qualifications are a plus
  
  

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.
  
  

Full\-time",,,,2025-09-07,https://hk.indeed.com/viewjob?jk=e66150e2c5be89b1,2025-09-08 06:07:13.729516
2,"Analyst / Officer, Risk Management",MIB Securities (Hong Kong) Limited,HK,indeed,data analyst,"The Maybank Investment Banking Group (MIBG) of companies comprises securities and investment banking businesses stretching around the globe with offices in Malaysia, Singapore, Hong Kong, Thailand, Indonesia, Philippines, India, Vietnam, Saudi Arabia, Great Britain and the United States of America. MIBG has been in Asia for 40 years and provides services in corporate finance, investment banking, debt markets, equity capital markets, derivatives, retail and institutional securities broking and research.
  
You can learn more about us at www.mib.com.hk.
  
  

Responsibilities
  
* Develop, implement, and regularly review risk\-related frameworks, policies and guidelines to ensure alignment with Group standards;
* Identify, assess, measure, mitigate, monitor and report operational risks across the organization;
* Deliver independent and high\-quality risk assessments for business proposals requiring approval from local and regional risk committees;
* Lead and execute periodic and ad\-hoc risk testing initiatives as requested by the Group;
* Prepare daily, monthly, and ad\-hoc risk reports for management review; and
* Undertake additional tasks and projects as assigned by the department head.


Requirements
  
* Bachelor’s degree or above in Risk Management, Finance, or a related discipline;
* 3–5 years of hands\-on experience in risk control or risk management within a bank’s brokerage division or a securities firm (candidates with less experience may be considered for the Officer level);
* Strong team player with excellent interpersonal and communication skills;
* Demonstrated sound judgment and a structured, analytical approach to problem\-solving;
* Solid understanding of securities regulations and market practices in Hong Kong and oversea markets; and
* Excellent command of written and spoken English and Chinese, including fluency in Mandarin.


Interested parties please send full resume with contact telephone number and expected salary to Human Capital Department via e\-mail to \[email redacted, apply via Company website] (in MSWord form)
  
The personal data collected in the job application will only be used by MIB Securities (Hong Kong) Limited, its subsidiaries and/or affiliates (Maybank Investment Banking Group) internally to assess your suitability to assume the job duties of the position for which you have applied. All personal data will be handled in strict confidence and filed with Human Capital Department. It is the Company policy to retain the personal data of unsuccessful applicants for future recruitment opportunities for a period of maximum six (6\) months, otherwise it will be destroyed.
  
  

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.
  
  

Full\-time",,,,2025-09-07,https://hk.indeed.com/viewjob?jk=4ac5d176b9ef2197,2025-09-08 06:07:13.729516
3,Quant Model Risk - Equities and eTrading - Analyst,JPMorganChase,HK,indeed,data analyst,"**JOB DESCRIPTION**  

As part of Risk Management and Compliance, you are at the center of keeping JPMorgan Chase strong and resilient. You help the firm grow its business in a responsible way by anticipating new and emerging risks, and using your expert judgement to solve real\-world challenges that impact our company, customers and communities. Our culture in Risk Management and Compliance is all about thinking outside the box, challenging the status quo and striving to be best\-in\-class.


As a Quant Model Risk Analyst within our Risk Management team, you will be responsible for assessing and mitigating the risks associated with complex models used for valuation, risk measurement, capital calculation, and decision\-making purposes. This role also provides the opportunity to gain exposure to various business and functional areas, as well as collaborate closely with model developers and users.

**Job responsibilities**

* Evaluate conceptual soundness of model specifications, reasonableness of assumptions, reliability of inputs, completeness of testing, correctness of implementation, and suitability and comprehensiveness of performance metrics and risk measures
* Perform independent testing of models by replicating or building benchmark models
* Design and implement experiments to measure the potential impact of model limitations, parameter estimation errors, and deviations from model assumptions; compare model outputs with empirical evidence or outputs from model benchmarks
* Evaluate the risks posed by non\-transparent model parameters and/or non\-linear relationships, and suggest ways to mitigate such risks
* Document the model review findings and communicate them to stakeholders
* Serve as the first point of contact for model governance related inquiries for the coverage area, and help identify and escalate issues to ensure that their resolutions are sound and timely
* Provide guidance on the appropriate usage of models to model developers, users, and other stakeholders in the firm
* Stay abreast of the ongoing performance testing outcomes for models used in the coverage area, and communicate those outcomes to stakeholders
* Maintain the model inventory and model metadata for the coverage area
* Maintain the pace with the latest developments in coverage area in terms of products, markets, models, risk management practices, and industry standards

**Required qualifications, capabilities, and skills**

* Minimum of a Master's degree in Quantitative Finance, Mathematics, Physics or a related discipline
* Minimum of 1 year of experience in a quantitative analysis role in the banking industry
* Strong analytical and problem\-solving abilities
* Excellence in probability theory, stochastic processes, statistics, and numerical analysis
* Good understanding of option pricing theory (i.e. quantitative models for pricing and hedging derivatives option)
* Good coding skills, for example in C/C\+\+ or Python
* Inquisitive nature with excellent communication skills
* Teamwork\-oriented mindset

**Preferred qualifications, capabilities, and skills**

* Experience with pricing derivatives.
* Data and numeric programming (NumPy, SciPy, Pandas, etc.)
* Experience of working with tensorflow and other ML packages


**ABOUT US**  

  

J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world’s most prominent corporations, governments, wealthy individuals and institutional investors. Our first\-class business in a first\-class way approach to serving clients drives everything we do. We strive to build trusted, long\-term partnerships to help our clients achieve their business objectives.  


We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.  

  

  

**ABOUT THE TEAM**  


Our professionals in our Corporate Functions cover a diverse range of areas from finance and risk to human resources and marketing. Our corporate teams are an essential part of our company, ensuring that we’re setting our businesses, clients, customers and employees up for success.  

  

Risk Management helps the firm understand, manage and anticipate risks in a constantly changing environment. The work covers areas such as evaluating country\-specific risk, understanding regulatory changes and determining credit worthiness. Risk Management provides independent oversight and maintains an effective control environment.",,,,2025-09-06,https://hk.indeed.com/viewjob?jk=9ed23f99fb6a2e20,2025-09-08 06:07:13.729516
4,Risk Controls Analyst,Millennium Management,HK,indeed,data analyst,"Risk Controls Analyst
Risk Controls closely communicates with other functions at MLP to formalize risk identification, risk assessments and controls framework to enhance risk management capabilities. Risk Controls is responsible for pre\-post trade controls activities requested from Global Risk Management, Compliance, Technology and co\-ordinates with Business Management.

**Primary Responsibilities**

* Oversee MLP’s risk limits and controls framework to carry out firm’s risk management strategy to ensure trading activity is conducted in a safe and sound manner in compliance with firm’s policies, procedures and appropriate rules and regulations
* Define and advance initiatives related to oversight of Enterprise\-wide Risk Controls in APAC
* Facilitate MLP’s Risk Controls framework and data collection, including detailed reviews of significant trading events to ensure applicable remediation plans are implemented
* Conduct thematic analysis and periodic evaluations of the types and levels of risk within MLP’s businesses and the effectiveness of the control environment via risk and controls self\-assessments (RCSA)
* Conduct reviews and co\-ordinate controls and limit requirements while on\-boarding an external PM, third party trading tool and/or new product
* Develop business and risk training documents and processes designated to ensure clear understanding of pre\- and post\- trade risk controls and framework
* Assist with governance framework standardization and to effectively share information across risk, business, technology, compliance, execution services and management
* Support in business and risk’s interaction with external regulatory requests w.r.t examinations, policy documents, governance framework, etc.
* Facilitate lessons learned assessment from various internal/external incidents

**Qualifications**

* 2\+ years of relevant Markets experience preferably in a controls or trading related role (Trader/Desk Assistant, Risk, Compliance, Audit)
* Product and trading strategies knowledge in one or more of the following asset classes is preferred but not necessary – Equities, Futures, Rates, Fixed Income, Commodities
* Strong analytical skills with the ability to work with complex data structures, drawing meaningful results, and then presenting them in a concise way for Senior Management
* Ability to automate various data\-based workflows via Python, VBA or other coding languages
* Excellent project management skills, with the ability to balance short and medium term remedial action
* Excellent verbal and communication skills, with the ability to build consensus across senior stakeholders
* Quick and self\-learner who can thrive working as part of a cross regional team and individually
* Ability to work in a fast paced environment with a focus on delivery
* Proficiency in Excel, PowerPoint, SharePoint, Tableau, SQL, VBA, Python, KDB, Jira are desired
* Tenacious hands\-on problem\-solving skills
* Knowledge of Software Development Life Cycle (SDLC) and E\-Trading applications preferred",,,,2025-09-05,https://hk.indeed.com/viewjob?jk=ec8acc840fa0ba70,2025-09-08 06:07:13.729516
5,"Analyst, Consumer Insights",NielsenIQ,"KOW, HK",indeed,data analyst,"**Job Description** **Responsibilities**

* Maintaining and building an accurate, complete, up\-to\-date understanding of the market with insightful data and intelligence
* Accountable for analyses, charting and performing quality checks for analytic reports
* Assisting in developing analytical solutions, consumer insight recommendation and developing questionnaires aligned with client goals and needs
* Assisting in preparation of proposals and credential presentations
* Ensuring timely and quality deliverables and services to clients
* Providing administrative and operational support in research projects
* Collaborating with the various internal teams for research projects


You will play an essential role in managing research projects from start to finish; supporting the Senior Manager on research design, analysis, reporting through to presenting findings to clients. We will arm you with the best in market research skills and capabilities, through on the job coaching and structured training. You will also be given access to our full range of data and analytics solutions. Whilst we love surveys, we also have plenty of other data to quench your curiosity and wow your clients.

 **Qualifications**  

* University graduate from any discipline
* Excellent analytical, communication, and coordination skills
* Proactive and strive for excellence and a good team player
* Proficient in Microsoft Excel \& PowerPoint
* Good client service skills and able to communicate and write effectively in English, Cantonese and Mandarin
* Applicant might hold a valid work visa in Hong Kong and Cantonese\-speaking is a must

  

**Additional Information** **Our Benefits**

* Flexible working environment
* Volunteer time off
* LinkedIn Learning
* Employee\-Assistance\-Program (EAP)


**About NIQ**


NIQ is the world’s leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. In 2023, NIQ combined with GfK, bringing together the two industry leaders with unparalleled global reach. With a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state\-of\-the\-art platforms—NIQ delivers the Full View™. NIQ is an Advent International portfolio company with operations in 100\+ markets, covering more than 90% of the world’s population.


For more information, visit NIQ.com


Want to keep up with our latest updates?


Follow us on: LinkedIn \| Instagram \| Twitter \| Facebook


**Our commitment to Diversity, Equity, and Inclusion**


At NIQ, we are steadfast in our commitment to fostering an inclusive workplace that mirrors the rich diversity of the communities and markets we serve. We believe that embracing a wide range of perspectives drives innovation and excellence. All employment decisions at NIQ are made without regard to race, color, religion, sex (including pregnancy, sexual orientation, or gender identity), national origin, age, disability, genetic information, marital status, veteran status, or any other characteristic protected by applicable laws. We invite individuals who share our dedication to inclusivity and equity to join us in making a meaningful impact. To learn more about our ongoing efforts in diversity and inclusion, please visit the https://nielseniq.com/global/en/news\-center/diversity\-inclusion",,,,2025-09-05,https://hk.indeed.com/viewjob?jk=7789cb8c563b60c3,2025-09-08 06:07:13.729516
6,Analyst / Consultant,Deloitte,HK,indeed,data analyst,"**About the Business**
----------------------

  

Financial Advisory (FA) practice of Deloitte China provides strategic and financial advisory services to clients throughout all phases of the economic cycle. FA comprises several distinct but related global service lines whose shared principal objective is the creation and enhancement of shareholder and stakeholder value.


Deloitte Forensic Services assist organizations in managing forensic issues and focus on outcomes that address reputation protection, asset recovery and prevention.


**Work you'll do**
------------------

  

* Apply cutting\-edge technology (e.g. artificial intelligence, Gen AI, machine learning, LLMs) to assist clients to transform and digitalize their business initiatives
* Deploy solutions under Cloud and / or Agentic AI architecture to solve unique client challenges
* Participate in system architecture (networks, databases, worker servers) and platform design (wireframing on Figma to develop on JavaScript, React, Node JS, Vue JS)
* Utilize data mining tools and technology (e.g. SQL, Python) to extract useful information from a variety of data sources (structured and unstructured)
* Perform advanced and predictive analysis to identify insights, patterns and anomalies
* Conduct hands\-on implementation of technology solutions, supporting across the end\-to\-end systems development lifecycle from planning \& scoping, to design, to technical implementation
* Deliver results for clients by applying technology domain knowledge and appropriate methodologies
* Understand how business functions operate and how use of technology impact a client’s business by keeping up\-to\-date on industry/sector trends and leading practices
* Articulate how technology enables and differentiates the business and communicate this effectively to clients

  



During your tenure with us, you will demonstrate and develop your leadership and professional capabilities in the following areas: Inspiring, Creating purpose, Driving agility, Building diverse capability, Influencing, Collaborating, Delivering value, Building the business, Analytical acumen, Effective communication, Engagement management/delivery excellence, Managing change, Managing quality \& risk, Sales excellence, Strategic thinking and problem solving, and Tech savviness.

**We are looking for someone with**
-----------------------------------

  


To be considered for this position, you must demonstrate skills and experience in the following areas:


* Three to five years of professional experience in global consulting firm working with a focus in technology, including strong track record of project management and delivery
* Excellent commercial acumen and understanding of business drivers
* Strong analytical and problem solving skills with high commitment to quality client service.
* Hands\-on implementation experience in two or more areas: JavaScript (Node JS, Vue JS, React), Python, SQL
* Experienced in Agentic AI architecture, wireframing tools (e.g. Figma) and data visualization tools (e.g. Tableau, PowerBI) are highly preferred
* Experienced working in a software development lifecycle and best practices, and Agile software development methodologies
* Ability to understand requirements and map to technical implementation
* Excellent command of spoken and written English and Chinese, fluency in Putonghua is mandatory

  



\#LI\-LC1

**Shape your future through impact that matters**
-------------------------------------------------

  

For more than 100 years of history, Deloitte witnessed also had the honor to be part of the economic boom in China by providing industry\-leading audit \& assurance, consulting, risk advisory, financial advisory, tax \& business advisory services to nearly 90% of the Fortune Global 500 Chinese companies and thousands of private companies. Deloitte China today carries on our centenary professionalism and strives to become the undisputed leader in professional services in China with strong responsibility and capabilities in digitalization and multidisciplinary services.

  


Deloitte has been named China's Top Employer since 2006, Universum's Most Attractive Employer in China since 2008, and the Best Workplaces in Greater China since 2019\.

  


All qualified applicants will receive consideration for employment regardless of their background, experience, identity, ability or thinking style, and if you need assistance during the application process for accessibility reasons this is available upon request. The preferred candidate will be subject to background screening by Deloitte China or by their external third\-party provider.

  


**Accessibility assistance**

  

  

If you need assistance or an accommodation during the recruitment process for accessibility reasons, there will be an opportunity for you to let us know what you need once you begin your application.

  


Ready to take on new challenges? Apply now!",,,,2025-09-04,https://hk.indeed.com/viewjob?jk=e0ecd43cb910637a,2025-09-08 06:07:13.729516
7,Data & Reporting Analyst,The Maples Group (Financial Services),HK,indeed,data analyst,"Position: Data and Reporting Analyst \- Middle Office


Location: Hong Kong

  

The Maples Group is a standard bearer in financial and legal services, trusted by many of the world’s largest hedge fund managers, private equity firms and international corporations.

  



Our distinction flows from our carefully curated team: 2,000\+ professionals characterised by tenacity, ethics and exacting excellence. We hire smart and sharpen smarter, arming talent with best\-in\-class resources and skills. With 18 locations across the Americas, Asia, Europe and the Middle East, our international presence offers a unique springboard for career development and cross\-cultural immersion. Our side\-by\-side financial and legal services are similarly ripe for interdisciplinary learning and growth.

  



The Maples Group looks to add a Hong Kong based Data and Reporting Analyst to our team and invites eager and qualified candidates to apply. We are committed to diversity, inclusion and equality of opportunity as we attract, retain and develop world\-class talent.

  



Who We Seek


Our merit\-based culture suits professionals in pursuit of boundless careers and lives. Beyond their acumen, team members are collaborative and conscientious, bringing a healthy sense of drive and purpose to each interaction and to all aspects of their work.

  



About the Role


The Data and Reporting Analyst reports to the Assistant Vice President and supports the middle office team. The middle office team provides blue chip investment manager and institutional investor clients with data management, portfolio accounting and portfolio analytics solutions. Its tactical responsibilities feed one larger objective: ensuring timely and accurate client deliverables and a high level of client service.

  



Primary responsibilities include:

  



* ensure that transactions are loaded into our fund administration/portfolio accounting systems in a timely and accurate manner
* perform trade, cash and position reconciliations and identify the reason causing any breaks; extract data and compile various reports by using tools such as Excel VBA, SQL DB and PowerBi
* deliver daily and monthly portfolio accounting, performance and risk reports to external clients; assist in ad hoc projects upon clients’ requests
* liaise with diverse parties to ensure timely delivery of daily tasks, handle portfolio annual audit queries and support ad\-hoc requests
* assist in client relationship management
* work closely with Information Technology team and systems vendors to develop bespoke client solutions
* assist in the design and implementation of automated processes for data loading and extracts; and globally managing use of systems with goal of optimal efficiency

  

What You Bring


In addition to indisputably high ethical standards and autonomy, the ideal candidate possesses the following:

  



* Degree Holder in Business, Accounting or Finance with at least 1\-2 years of relevant working experience. Candidates with less experience will be considered for the position of a Junior Data and Reporting Analyst.
* Technical expertise in the financial industry is required. Experience in Advent Geneva system and Fund Recs will be advantage.
* Excellent interpersonal skills with strong computer skills is preferred.
* Proactive, self\-starter, detail\-oriented and able to work independently;

  

Benefits \& Rewards


The most enduring professional relationships are reciprocal relationships. The Maples Group prioritises employee health and wellbeing. Depending on your location, we offer a range of benefits, including:

  



* Comprehensive health coverage (medical, dental and optical)
* Competitive vacation packages
* Educational assistance and professional development programmes
* Savings or pension plan
* Life insurance
* Travel insurance
* Global mental wellness programme
* Social events

  

About the Maples Group


Over five decades, the Maples Group has grown from modest beginnings into one of the world's preeminent professional services firms, offering specialised fiduciary, fund administration, regulatory and compliance, entity formation and management and legal services on the laws of the British Virgin Islands, the Cayman Islands, Ireland, Jersey and Luxembourg.

  

You can learn more about the Maples Group on our corporate website. Experience our culture and our people on our Careers Page or on LinkedIn.

  

Disclaimer: All personal information collected during the application process will be used for recruitment\-related purposes only. Please refer to our Job Applicant Privacy Notice at maples.com/privacy for details on how we handle personal information relating to job applicants.",,,,2025-09-04,https://hk.indeed.com/viewjob?jk=343f1423cd36f93a,2025-09-08 06:07:13.729516
8,Compliance & Risk Monitoring Analyst,Multiplier Technologies,"Central, HKI, HK",indeed,data analyst,"Job responsibility

1\. Have a monitoring perspective, be familiar with business processes, connect with various departments to obtain resources and data, quickly understand the direction of business development, identify risks and find problems;

2\. Develop long\-term monitoring strategies and data analysis Kanban to monitor risks;

3\. Analyzed the causes of risk and violation points, put forward rectification suggestions, and assisted the business side to complete the closed loop of compliance governance

4, responsible for the preparation of department system, SOP, summary report and other materials;

5\. Organize awareness education on risk prevention and control, improve risk management ability and optimize internal control environment through personnel awareness;

Job requirements

1, Bachelor degree or above, more than 3 years of audit, audit, risk management, compliance work experience;

2, with basic data analysis skills and excellent writing skills;

3\. Have certain experience in risk management, master risk assessment and diagnosis, risk identification, analysis, research and judgment skills, and have excellent business sensitivity and understanding ability with strong communication and coordination skills and team spirit with anti\-money laundering related knowledge, with relevant certificates is preferred;

5\. accounting related professional qualifications and other qualifications are preferred;

6\. overseas gaming Internet experience is preferred.

Job Type: Full\-time

Pay: $35,000\.00 \- $40,000\.00 per month

Benefits:

* Medical Insurance
* Professional development

Work Location: Hybrid remote in Central, Hong Kong Island",,,,2025-09-04,https://hk.indeed.com/viewjob?jk=c37a555fc9e27368,2025-09-08 06:07:13.729516
9,Data Analyst,Multiplier Technologies,"Central, HKI, HK",indeed,data analyst,"Job Responsibilities:

* Support the company's risk control\-related needs and provide data support for operations.
* Sort out and improve the operational data indicator system, and build data reports and visual dashboards.
* Conduct in\-depth analysis and mining of product revenue and user behavior, provide data support and strategic suggestions for the iteration direction of business products, and establish a long\-term usable monitoring mechanism for data.
* Participate in user portrait research, build models, analyze user behavior motives, and promote the business application of tags.
* Cooperate with business\-side needs to provide data support and decision\-making suggestions.
* Monitor data abnormalities, and timely investigate and feedback problems

Job Requirements:

* Bachelor's degree or above, priority given to majors in Applied Mathematics, Statistics, Computer Science, Economics and Management, etc..
* Proficient in Excel, SQL, Python, HQL and Office software; proficiency in QuickBI and Tableau is preferred.
* Possess data sensitivity and be able to extract business insights from data.
* Understand basic data analysis logic; 2\-3 years of relevant experience is preferred.
* Have good communication skills and be able to cooperate with business teams to implement analysis suggestions.
* Possess data thinking and be able to drive operational decisions through data.
* Have proficient data analysis skills, be able to skillfully use tools such as SQL and Excel, and convert insights into specific actions.

Job Type: Full\-time

Pay: $38,000\.00 \- $40,000\.00 per month

Benefits:

* Medical Insurance
* Professional development

Work Location: Hybrid remote in Central, Hong Kong Island",,,,2025-09-04,https://hk.indeed.com/viewjob?jk=767d43a97cc3c469,2025-09-08 06:07:13.729516
10,"Analyst/Associate, Business Management, Asset Management",CITIC CLSA,HK,indeed,data analyst,"**Position Description**


We are seeking a highly organized and proactive junior Business Management Analyst/Associate to support the strategic, operational, managerial and project management functions within our fast\-growing asset management business. This role offers an excellent opportunity for recent graduates or professionals early in their career to gain practical experience in strategic planning, corporate governance, business operations and project coordination and within a dynamic financial environment. This position is located in Hong Kong.


**Key Areas of Responsibilities**


* Support senior management and business management on a wide range of strategic, operational, managerial and project management related tasks.
* Assist with preparing various internal and external reports and presentations related to the company's business and management.
* Support the coordination and implementation of business initiatives, projects and process improvements.
* Monitor key performance indicators (KPIs) and assist in analysing and tracking KPI execution, strategic goals and operational efficiency.
* Support the development and maintenance of internal policies, procedures and workflows.
* Conduct research and gather data to support business development, market analysis and competitive benchmarking.
* Collaborate with various internal teams such as Sales, Product, Investment, Operations, Compliance, Finance and IT to ensure smooth execution of business activities.
* Coordinate meetings, workshops, and internal communication across departments.
* Provide general administrative support to the management team as needed.

**Requirements**


* Bachelor’s degree in Business Administration, Finance, Economics, or related fields.
* At least 1 year of experience in business support, operations or project management, preferably within financial services or asset management.
* Hungry for an opportunity to impress in an entry\-level position in a leading and rapidly growing China\-focused asset management firm.
* High attention to detail and ability to handle multiple tasks simultaneously.
* Excellent organizational and time management abilities.
* Strong analytical and problem\-solving skills.
* Demonstrated ability to work collaboratively across teams and adapt to a fast\-paced environment.
* Effective communication skills, both written and verbal.
* Proficiency in MS Office (Excel, PowerPoint, Word); familiarity with data analysis tools is a plus.
* Fluent Mandarin and English language skills.",,,,2025-09-03,https://hk.indeed.com/viewjob?jk=38b25d4644dcb560,2025-09-08 06:07:13.729516
